UK,USA,EU,FR,UIE
30A,30AA,65A,80A,65A
30B,30B,65B,80B,65B
30C,30C,65C,80C,65C
30D,30D,65D,80D,65D
30DD,30DD,65E,80E,65E
30E,30DDD/E,65F,80F,65F
30F,30F,65G,80G,65G
30G,30G,65H,80H,65H
30H,30H,65I,80I,65I
30I,30I,65J,80J,65J
32A,32AA ,70A,85A,70A
32B,32B,70B,85B,70B
32C,32C,70C,85C,70C
70D,70D,32D,32D,85D
70E,70E,32DD,32DD,85E
70F,70F,32DDD/E,32E,85F
70G,70G,32F,32F,85G
70H,70H,32G,32G,85H
70I,70I,32H,32H,85I
70J,70J,32I,32I,85J
75A,75A,34AA ,34A,90A
75B,75B,34B,34B,90B
75C,75C,34C,34C,90C
75D,75D,34D,34D,90D
75E,75E,34DD,34DD,90E
75F,75F,34DDD/E,34E,90F
75G,75G,34F,34F,90G
75H,75H,34G,34G,90H
75I,75I,34H,34H,90I
75J,75J,34I,34I,90J
80A,80A,36AA ,36A,95A
80B,80B,36B,36B,95B
80C,80C,36C,36C,95C
80D,80D,36D,36D,95D
80E,80E,36DD,36DD,95E
80F,80F,36DDD/E,36E,95F
80G,80G,36F,36F,95G
80H,80H,36G,36G,95H
80I,80I,36H,36H,95I
80J,80J,36I,36I,95J
85A,85A,38AA,38A,100A
85B,85B,38B,38B,100B
85C,85C,38C,38C,100C
85D,85D,38D,38D,100D
85E,85E,38DD,38DD,100E
85F,85F,38DDD/E,38E,100F
85G,85G,38F,38F,100G
85H,85H,38G,38G,100H
85I,85I,38H,38H,100I
85J,85J,38I,38I,100J
90A,90A,40AA,40A,105A
90B,90B,40B,40B,105B
90C,90C,40C,40C,105C
90D,90D,40D,40D,105D
90E,90E,40DD,40DD,105E
90F,90F,40DDD/E,40E,105F
90G,90G,40F,40F,105G
90H,90H,40G,40G,105H
90I,90I,40H,40H,105I
90J,90J,40I,40I,105J
95A,95A,42AA ,42A,110A
95B,95B,42B,42B,110B
95C,95C,42C,42C,110C
95D,95D,42D,42D,110D
95E,95E,42DD,42DD,110E
95F,95F,42DDD/E,42E,110F
95G,95G,42F,42F,110G
95H,95H,42G,42G,110H
95I,95I,42H,42H,110I
95J,95J,42I,42I,110J
100A,100A,44AA,44A,115A
100B,100B,44B,44B,115B
100C,100C,44C,44C,115C
100D,100D,44D,44D,115D
100E,100E,44DD,44DD,115E
100F,100F,44DDD/E,44E,115F
100G,100G,44F,44F,115G
100H,100H,44G,44G,115H
100I,100I,44H,44H,115I
100J,100J,44I,44I,115J
